What was the change in total non-current assets for ITC from 2024 to 2025? (A) They increased by 7,992.94 crores (from 24,103.31 crores in 2024 to 32,096.25 crores in 2025) (B) They decreased by 7,992.94 crores (from 32,096.25 crores in 2024 to 24,103.31 crores in 2025) (C) They decreased by 5,955.87 crores (from 29,781.42 crores in 2024 to 23,825.55 crores in 2025) (D) They increased by 2,037.07 crores (from 2,314.83 crores in 2024 to 277.76 crores in 2025)	mcq
What are the key pillars that anchor ITC's initiatives to enhance operations using digital technologies? (A) Consumer insights & innovation; brand engagement; personalized journeys; Always On approach; cutting-edge R&D capabilities (B) Synchronised planning and forecasting; agile, resilient & efficient supply chain; smart buying & value engineering; smart manufacturing; smart demand capture & fulfilment (C) Industry 4.0; Advanced Analytics; Big Data; Internet of Things; real-time operations platform (D) Omni-channel capability; supply chain excellence; organic growth strategy; agile innovation; domestic value chains	mcq
Which of the following items are included under financial assets measured at fair value through profit or loss? (A) Investment in Mutual Funds; Investment in Bonds/Debentures, Certificates of Deposit; Investment in Venture Capital Funds; Investment in Equity & Preference Shares (B) Investment in Mutual Funds; Investment in Equity Shares; Cash and cash equivalents; Bank Balances (C) Investment in Bonds/Debentures & Government Securities; Investment in Mutual Funds; Trade receivables; Other financial assets (D) Investment in Equity Shares; Investment in Mutual Funds; Investment in Government Securities; Loans	mcq
As at 31 March 2025, what is ITC’s percentage ownership interest in Russell Credit Limited?	factoid
What are the themes covered by the Business's Digital App Suite?	list
What are ITC's recent acquisitions that reflect its strategy to build a portfolio aligned with evolving consumer needs?	list
What does ITC aim to achieve through its acquisition of 24 Mantra Organic?	factoid
When and with whom was the CII–ITC Centre of Excellence for Sustainable Development (CESD) established?	factoid
What unique certification did the ITC Sankhya data centre in Bengaluru achieve?	factoid
Which product categories is the Personal Care Products Business (PCPB) R&D team at LSTC focusing on to build future product pipeline readiness? (A) Health & Hygiene, Personal Wash, Fragrances, Home Care, and Skin Care (B) Wheat, Potato, Spices, Personal Wash, and Home Care (C) Health & Hygiene, Branded Packaged Foods, Fragrances, and Skin Care (D) Personal Wash, Home Care, Quick Service Restaurant, and Sustainable Materials	mcq
According to ITC's Corporate Governance report, what is the primary purpose of the Familiarisation Programme for Directors? (A) To ensure directors can allocate resources effectively and formulate business plans within the Corporate Management Committee framework (B) To enable them to take well-informed and timely decisions and effectively discharge their role of trusteeship in a manner that fulfils stakeholders' aspirations and societal expectations (C) To help directors review the annual financial statements of subsidiary companies and monitor significant transactions and arrangements (D) To allow directors to contribute to strategic management of the Company's businesses and realisation of Company goals under Board supervision	mcq
List the changes in remuneration metrics for ITC employees and Key Managerial Personnel (KMPs) in FY 2024-25 compared to FY 2023-24.	list
List the Board Committees that include Sanjiv Puri and his role on each committee.	list
What are the factors that enable duty-paid cigarettes to contribute more than four-fifths of tobacco-sector revenue despite accounting for only one-tenth of tobacco consumed?	list
What was the Group’s total revenue from external customers in 2025?	factoid
What are the bases the auditors considered under clause (xix) when assessing whether the Company can meet its liabilities due within one year?	list
How does ITC's approach to nurturing talent combine startup-style execution with the advantages of a large enterprise? (A) ITC develops a diverse pool of professional entrepreneurs, or 'proneurs', who can nurture categories, products and brands from ideation to execution akin to a startup, while being backed by the scale and institutional strengths of a diversified enterprise. (B) ITC creates independent startup units within the company that operate separately from the main enterprise while accessing corporate resources through the Life Sciences & Technology Centre. (C) ITC partners with external startups through value-accretive acquisitions like 24 Mantra Organic and Yoga Bar to combine entrepreneurial talent with enterprise capabilities. (D) ITC establishes innovation labs that function like startups but are supported by the company's research platforms in Beauty & Hygiene, Health & Wellness, and Sustainable Packaging Materials.	mcq
What are the key initiatives under ITC's holistic sustainable packaging strategy for 'No Plastics' and 'Less Plastics'?	list
Which committee is responsible for reviewing performance and progress against ITC's Sustainability 2.0 targets? (A) The Sustainability Compliance and Review Committee (SCRC) (B) The Environmental Risk Management Committee (ERMC) (C) The Business Responsibility and Sustainability Committee (BRSC) (D) The Life-Cycle Assessment Review Committee (LCARC)	mcq
What prestigious HR award was the Business honoured with as a testimony to the success of its digital initiatives?	factoid
How many times did the Risk Management Committee meet during the year 2025 at ITC? (A) Twice (B) Thrice (C) Four times (D) Five times	mcq
What are the Water Stewardship measures that contribute to environmental sustainability in agricultural and urban catchments?	list
How many permanent employees did ITC have as on 31st March, 2025?	factoid
List the areas that Internal Audit has enhanced its focus on for digital assets systems and controls.	list
What is ITC's stock code on BSE?	factoid
What is Sanjiv Puri’s current designation at ITC Limited?	factoid
Does the auditor's statement in clause (xix) provide a guarantee that the Company will discharge all liabilities falling due within one year from the balance sheet date? (A) Yes, the auditor provides a full guarantee that all liabilities will be discharged as they fall due within one year. (B) Yes, while not explicitly called a guarantee, the auditor's examination provides sufficient assurance that all liabilities will be met. (C) No, the auditor only states that no material uncertainty exists but explicitly disclaims providing any guarantee or assurance about future discharge of liabilities. (D) Partially, the auditor guarantees payment of financial liabilities but not other types of liabilities falling due within one year.	mcq
Which of the company's brands is ranked No. 1 in Notebooks?	factoid
What are the factors that supported the INR towards the end of the year?	list
What is the total current borrowings as at 31st March, 2025?	factoid
How many meetings of the Board were held during the year ended 31st March, 2025?	factoid
What are the unintended negative repercussions of stringent regulations and discriminatory steep taxation on cigarettes in India mentioned in the report?	list
What was the combined gross revenue from sale of products and services for the Agri Business segment in 2025 (Unmanufactured Tobacco plus Other Agri Products and Commodities)? (A) 11,244.00 crores (B) 12,244.00 crores (C) 13,244.00 crores (D) 10,244.00 crores	mcq
What was the Company's turnover for the year ended 31st March, 2025?	factoid
What type of assurance was the engagement designed to obtain on the sustainability disclosures in the BRSR Core?	factoid
How many operational locations were identified for substantive testing of ISI data in ITC's sustainability reporting process? (A) 15 locations including ICML Mysore, ICML Kapurthala, FBD Munger, ITC Maurya, PSPD Tribeni, PCPBD Manpura, ITD Bangalore, and PPB Munger (B) 18 locations including ICML facilities in Mysore and Kapurthala, FBD Munger, hotel properties, PSPD units, PCPB divisions, ITD centers, and PPB facilities (C) 20 locations including ICML Mysore, ICML Kapurthala, ICML Panchla, ICML Haridwar, ICML Pune, FBD Munger, ITC Maurya, Sheraton New Delhi, PSPD Tribeni, PSPD Kovai, PSPD Bhadrachalam, PCPBD Manpura, PCPB Haridwar, ITD Bangalore, ITD Pune, ITD Munger, KGLT Mysore, PPB Munger, PPB Nadiad, and PPB Haridwar (D) 22 locations covering all major business divisions including ICML, FBD, hotel properties, PSPD, PCPB, ITD, and PPB facilities across India	mcq
Which of the following correctly lists the Non-Executive Directors appointed along with their representing organizations and effective appointment dates? (A) Mr. Atul Singh — Tobacco Manufacturers (India) Limited (TMI) — 2nd April, 2024; Dr. Alok Pande — Specified Undertaking of the Unit Trust of India (SUUTI) — 27th July, 2024; Mr. Siddhartha Mohanty — Life Insurance Corporation of India (LIC) — 1st January, 2025. (B) Mr. Atul Singh — British America Tobacco p.l.c. — 2nd April, 2024; Dr. Alok Pande — Unit Trust of India — 27th July, 2024; Mr. Siddhartha Mohanty — Life Insurance Corporation of India (LIC) — 1st January, 2025. (C) Mr. Sunil Panray — Tobacco Manufacturers (India) Limited (TMI) — 2nd April, 2024; Dr. Alok Pande — Specified Undertaking of the Unit Trust of India (SUUTI) — 27th July, 2024; Mr. Siddhartha Mohanty — Life Insurance Corporation of India (LIC) — 1st January, 2025. (D) Mr. Atul Singh — Tobacco Manufacturers (India) Limited (TMI) — 14th September, 2024; Dr. Alok Pande — Specified Undertaking of the Unit Trust of India (SUUTI) — 31st May, 2024; Mr. Siddhartha Mohanty — Life Insurance Corporation of India (LIC) — 27th October, 2024.	mcq
List the specific actions taken by ITC's FMCG – Others Segment to partially mitigate inflationary pressures from rising input costs.	list
What are the reasons the team obtained an understanding of the internal control relevant to the ISI covered by reasonable assurance?	list
What renewable energy share did ITC achieve?	factoid
What was the Equity Share capital as at 31st March, 2025?	factoid
What is the aggregate market value of quoted investments as at 31st March, 2025?	factoid
What was the change in total outstanding dues of creditors other than micro and small enterprises from 31st March, 2024 to 31st March, 2025? (A) Increased by ₹36.06 crores (from ₹4,590.60 crores to ₹4,626.66 crores) (B) Decreased by ₹36.06 crores (from ₹4,626.66 crores to ₹4,590.60 crores) (C) Increased by ₹63.06 crores (from ₹4,590.60 crores to ₹4,653.66 crores) (D) Increased by ₹26.06 crores (from ₹4,590.60 crores to ₹4,616.66 crores)	mcq
Approximately how much annual revenue loss to the Government is attributed to illicit cigarettes alone?	factoid
List all associates with negative shares in profit or loss, along with their respective percentages and amounts.	list
As at 31st March, 2025, what was the Current Tax Liabilities (Net)?	factoid
What are the key initiatives and processes that enabled ITC to maintain Plastic Neutrality in FY 2024-25?	list
What are the components of Current assets – Financial Assets as at 31st March, 2025 for ITC with their respective amounts? (A) Investments – ₹13,720.54 crores; Trade receivables – ₹4,025.82 crores; Cash and cash equivalents – ₹625.89 crores; Bank balances other than (iii) above – ₹6,591.79 crores; Loans – ₹9.81 crores; Others – ₹1,181.74 crores (B) Investments – ₹16,287.50 crores; Trade receivables – ₹4,719.67 crores; Cash and cash equivalents – ₹620.00 crores; Bank balances other than (iii) above – ₹3,392.36 crores; Loans – ₹9.51 crores; Others – ₹1,656.25 crores (C) Investments – ₹17,619.87 crores; Trade receivables – ₹4,719.67 crores; Cash and cash equivalents – ₹620.00 crores; Bank balances other than (iii) above – ₹3,392.36 crores; Loans – ₹7.60 crores; Others – ₹1,557.57 crores (D) Investments – ₹16,287.50 crores; Trade receivables – ₹4,025.82 crores; Cash and cash equivalents – ₹625.89 crores; Bank balances other than (iii) above – ₹6,591.79 crores; Loans – ₹9.51 crores; Others – ₹1,656.25 crores	mcq
Which directors had appointment or cessation changes as noted in the footnotes, along with their respective categories and effective dates? (A) Appointed: C K Mishra (Independent Director, 14.09.2024); S Mohanty (Non-Executive Director, 01.01.2025); A Pande (Non-Executive Director, 27.07.2024); A Singh (Non-Executive Director, 02.04.2024); P Subrahmanyam (Independent Director, 02.04.2024). Ceased: S Banerjee (Independent Director, 30.07.2024); A Duggal (Independent Director, 15.09.2024); M Shankar (Independent Director, 15.09.2024); M Gupta (Non-Executive Director, 27.10.2024); R Jain (Non-Executive Director, 31.05.2024). (B) Appointed: C K Mishra (Non-Executive Director, 14.09.2024); S Mohanty (Independent Director, 01.01.2025); A Pande (Independent Director, 27.07.2024); A Singh (Non-Executive Director, 02.04.2024). Ceased: S Banerjee (Independent Director, 30.07.2024); A Duggal (Independent Director, 15.09.2024); M Shankar (Non-Executive Director, 15.09.2024); M Gupta (Non-Executive Director, 27.10.2024). (C) Appointed: C K Mishra (Independent Director, 15.09.2024); S Mohanty (Non-Executive Director, 01.01.2025); A Pande (Non-Executive Director, 27.07.2024); P Subrahmanyam (Independent Director, 02.04.2024). Ceased: S Banerjee (Independent Director, 30.07.2024); A Duggal (Independent Director, 14.09.2024); M Shankar (Independent Director, 15.09.2024); R Jain (Non-Executive Director, 31.05.2024). (D) Appointed: C K Mishra (Independent Director, 14.09.2024); A Pande (Non-Executive Director, 27.07.2024); A Singh (Executive Director, 02.04.2024); P Subrahmanyam (Independent Director, 02.04.2024). Ceased: S Banerjee (Non-Executive Director, 30.07.2024); A Duggal (Independent Director, 15.09.2024); M Shankar (Independent Director, 15.09.2024); M Gupta (Non-Executive Director, 27.10.2024).	mcq
